g1000  33946 ns
2000  27818 ns
3000  27021 ns
4000  29769 ns
5000  31287 ns
6000  31051 ns
7000  27739 ns
8000  28425 ns
9000  27734 ns
10000  29300 ns
11000  28775 ns
12000  27978 ns
13000  27877 ns
14000  28513 ns
15000  27105 ns
16000  27224 ns
17000  29177 ns
18000  31384 ns
19000  27556 ns
20000  28223 ns
21000  28005 ns
22000  28625 ns
23000  28764 ns
24000  28673 ns
25000  28165 ns
26000  27743 ns
27000  29012 ns
28000  29835 ns
29000  28966 ns
30000  28614 ns
31000  29177 ns
32000  30297 ns
33000  29274 ns
34000  33966 ns
35000  30552 ns
36000  30275 ns
37000  29366 ns
38000  30202 ns
39000  29001 ns
40000  32908 ns
41000  34824 ns
42000  31639 ns
43000  30178 ns
44000  33445 ns
45000  30897 ns
46000  32140 ns
47000  34532 ns
48000  37699 ns
49000  34463 ns
50000  37418 ns
51000  33957 ns
52000  33737 ns
53000  37277 ns
54000  34978 ns
55000  31841 ns
56000  39362 ns
57000  35620 ns
58000  33638 ns
59000  31568 ns
60000  31797 ns
61000  32433 ns
62000  30376 ns
63000  33506 ns
64000  33029 ns
65000  30367 ns
66000  30581 ns
67000  31758 ns
68000  35315 ns
69000  31036 ns
70000  33271 ns
71000  37455 ns
72000  36997 ns
73000  40603 ns
74000  36436 ns
75000  37800 ns
76000  41766 ns
